Genus,species,URL,Primary Research,Environment,Domain,Phylum/Kingdom,Netid,Environment Notes,,
Ganoderma,lucidum,https://microbewiki.kenyon.edu/index.php/Ganoderma_lucidum,Rhizosphere,Plant Host,Eukaryota,Opisthokonta,sbibbs,Live or dead hardwood trees,,
Gardenerella,vaginalis,https://microbewiki.kenyon.edu/index.php/Gardenerella_vaginalis,Animal Microbiome,Acidophile,Bacteria,Actinobacteria,sbibbs,"Female genital tract, urinary tract, mainly humans + some horses",,
Gemella,morbillorum,https://microbewiki.kenyon.edu/index.php/Gemella_morbillorum,Pathogen,Unknown ,Bacteria,Firmicutes,sbibbs,"Human mucous membranes, low O2",,
Gemmata,obscuriglobus,https://microbewiki.kenyon.edu/index.php/Gemmata_obscuriglobus,Environmental Microbiome,Aquatic,Bacteria,Planctomyces,sbibbs,"Freshwater, marine water, acidic/brackish water",,
Gemmatimonas,aurantiaca,https://microbewiki.kenyon.edu/index.php/Gemmatimonas_aurantiaca,Environmental Microbiome,Soil,Bacteria,Gemmatimonadetes,sbibbs,Soil,,
Geoalkalibacter,subterraneus,https://microbewiki.kenyon.edu/index.php/Geoalkalibacter_subterraneus,Misc,Unknown ,Bacteria,Proteobacteria,sbibbs,"Redwash oilfield in Utah, river water",,
Geobacillus,kaustophilus,https://microbewiki.kenyon.edu/index.php/Geobacillus_kaustophilus,Environmental Microbiome,Sediment,Bacteria,Firmicutes,sbibbs,"Deep-sea sediment of Mariana Trench, high-heat",,
Geobacillus,stearothermophilus,https://microbewiki.kenyon.edu/index.php/Geobacillus_stearothermophilus,Environmental Microbiome,Thermophile,Bacteria,Firmicutes,sbibbs,Thermal vents,,
Geobacter,metallireducens,https://microbewiki.kenyon.edu/index.php/Geobacter_metallireducens,Bioremediation,Sediment,Bacteria,Proteobacteria,sbibbs,Freshwater sediment,,
Geogemma,barossii,https://microbewiki.kenyon.edu/index.php/Geogemma_barossii,Extremophile,Thermophile,Archaea ,Crenarchaeota,sbibbs,"Deep sea hydrothermal vent, metal-rich, high-temp, high-pressure",,
Geoglobus,ahangari,https://microbewiki.kenyon.edu/index.php/Geoglobus_ahangari,Environmental Microbiome,Thermophile,Archaea ,Euryarchaeota,sbibbs,Hydrothermal vent,,
Geomyces,Destructans,https://microbewiki.kenyon.edu/index.php/Geomyces_Destructans,Pathogen,Caves/Mine Drainage,Eukaryota,Ascomycota,sbibbs,Bat caves,,
Geothermobacter,ehrlichii,https://microbewiki.kenyon.edu/index.php/Geothermobacter_ehrlichii,Bioremediation,Aquatic,Bacteria,Proteobacteria,sbibbs,Fresh + saltwater,,
Geothermobacterium,ferrireducens,https://microbewiki.kenyon.edu/index.php/Geothermobacterium_ferrireducens,Environmental Microbiome,Thermophile,Bacteria,Unknown,sbibbs,Hydrothermal vent,,
Geothrix,fermentans,https://microbewiki.kenyon.edu/index.php/Geothrix_fermentans,Environmental Microbiome,Sediment,Bacteria,Acidobacteria,sbibbs,Sediment,,
Giardia,lamblia,https://microbewiki.kenyon.edu/index.php/Giardia_lamblia,Pathogen,Animal Host ,Eukaryota,Diplomonadida,sbibbs,"Animal + human intestines/feces, water sources",,
Gloeobacter,Violaceus,https://microbewiki.kenyon.edu/index.php/Gloeobacter_Violaceus,Misc,Aquatic,Bacteria,Cyanobacteria,sbibbs,Water,,
Gloeocapsa,magma,https://microbewiki.kenyon.edu/index.php/Gloeocapsa_magma,Misc,Unknown ,Bacteria,Cyanobacteria,sbibbs,"Roof shingles, limestone, humid + damp, little sunlight exposure",,
Gluconobacter,Oxydans,https://microbewiki.kenyon.edu/index.php/Gluconobacter_Oxydans,Fermentation,Unknown ,Bacteria,Proteobacteria,sbibbs,"Sugar-rich, alcoholic, fruits/flowers, garden soil",,
Gordonia,rubripertincta,https://microbewiki.kenyon.edu/index.php/Gordonia_rubripertincta,Pathogen,Aquatic and Soil,Bacteria,Actinobacteria,sbibbs,"Soil, aquatic",,
Gramella,forsetii,https://microbewiki.kenyon.edu/index.php/Gramella_forsetii,Environmental Microbiome,Marine,Bacteria,Bacteroidetes,sbibbs,Seawater,,
Granulibacter,bethesdensis,https://microbewiki.kenyon.edu/index.php/Granulibacter_bethesdensis,Bioremediation,Soil,Bacteria,Proteobacteria,sbibbs,"Soil, with plants",,
Granulicatella,adiacens,https://microbewiki.kenyon.edu/index.php/Granulicatella_adiacens,Pathogen,Animal Host ,Bacteria,Firmicutes,dmolik,,,
Granulobacter,bethesdensis,https://microbewiki.kenyon.edu/index.php/Granulobacter_bethesdensis,Fermentation,Unknown ,Bacteria,Proteobacteria,sbibbs,"High glucose concentrations, nonhaline, cervical lymph nodes",,
Haemobartonella,felis,https://microbewiki.kenyon.edu/index.php/Haemobartonella_felis,Pathogen,Animal Host ,Bacteria,Tenericutes,sbibbs,Feline host,,
Haemophilus,aegyptius,https://microbewiki.kenyon.edu/index.php/Haemophilus_aegyptius,Pathogen,Animal Host ,Bacteria,Proteobacteria,sbibbs,Human epithelial cell linings,,
Haemophilus,ducreyi,https://microbewiki.kenyon.edu/index.php/Haemophilus_ducreyi,Pathogen,Animal Host ,Bacteria,Proteobacteria,sbibbs,Male genitalia,,
Haemophilus,influenzae,https://microbewiki.kenyon.edu/index.php/Haemophilus_influenzae,Pathogen,Animal Host ,Bacteria,Proteobacteria,sbibbs,Bloodstream,,
Haemophilus,somnus,https://microbewiki.kenyon.edu/index.php/Haemophilus_somnus,Pathogen,Animal Host ,Bacteria,Proteobacteria,sbibbs,"Cattle bloodstream/ reproductive tract/ circulatory system, sheep, bison",,
Haliangium,ochraceum,https://microbewiki.kenyon.edu/index.php/Haliangium_ochraceum,Environmental Microbiome,Saline ,Bacteria,Proteobacteria,sbibbs,"Marine, coastal, sand",,
Haloarcula,Marismortui,https://microbewiki.kenyon.edu/index.php/Haloarcula_Marismortui,Extremophile,Saline ,Archaea ,Euryarchaeota,sbibbs,"High saline, low oxygen, high light intensity (Dead Sea/Great Salt Lake)",,
Haloarcula,hispanica,https://microbewiki.kenyon.edu/index.php/Haloarcula_hispanica,Extremophile,Saline ,Archaea ,Euryarchaeota,sbibbs,"Salt lakes, salty soil, solar salterns",,
Halobacteria,salinarum,https://microbewiki.kenyon.edu/index.php/Halobacteria_salinarum,Extremophile,Halophile,Archaea ,Euryarchaeota,sbibbs,"Great Salt Lake, Dead Sea",,
Halobacterium,salinarum,https://microbewiki.kenyon.edu/index.php/Halobacterium_salinarum,Extremophile,Halophile,Archaea ,Euryarchaeota,sbibbs,"High salt concentration, high radiation levels",,
Haloferax,alexandrinus,https://microbewiki.kenyon.edu/index.php/Haloferax_alexandrinus,Misc,Saline ,Archaea ,Euryarchaeota,sbibbs,"High salt concentration, living organism host",,
Haloferax,volcanii,https://microbewiki.kenyon.edu/index.php/Haloferax_volcanii,Extremophile,Halophile,Archaea ,Euryarchaeota,sbibbs,"Dead Sea sediment, high salt concentration",,
Halomonas,titanicae,https://microbewiki.kenyon.edu/index.php/Halomonas_titanicae,Misc,Marine,Bacteria,Proteobacteria,sbibbs,"Metal surfaces, cold, ocean bottom, high salt concentration",,
Haloquadratum,walsbyi,https://microbewiki.kenyon.edu/index.php/Haloquadratum_walsbyi,Extremophile,Saline ,Archaea ,Euryarchaeota,sbibbs,Salt lakes,,
Halorhabdus,utahensis,https://microbewiki.kenyon.edu/index.php/Halorhabdus_utahensis,Extremophile,Halophile,Archaea ,Euryarchaeota,sbibbs,Great Salt Lake sediment,,
Halorhodospira,halophila,https://microbewiki.kenyon.edu/index.php/Halorhodospira_halophila,Extremophile,Halophile,Bacteria,Proteobacteria,sbibbs,Salt lake mud,,
Halorubrum,lacusprofundi,https://microbewiki.kenyon.edu/index.php/Halorubrum_lacusprofundi,Environmental Microbiome,Aquatic,Archaea,Euryarchaeota,Precompleted,"deep lake, antarctica",,
Halothemothrix,orenii,https://microbewiki.kenyon.edu/index.php/Halothemothrix_orenii,Environmental Microbiome,Halophile,Bacteria,Firmicutes,Precompleted,Tunisian salt lake,,
Halothermothrix,orenii,https://microbewiki.kenyon.edu/index.php/Halothermothrix_orenii,Environmental Microbiome,Halophile,Bacteria,Firmicutes,Precompleted,Tunisian salt lake,,
Helicobacter,cinaedi,https://microbewiki.kenyon.edu/index.php/Helicobacter_cinaedi,Pathogen,Animal host,Bacteria,Proteobacteria,Precompleted,hamster intestines,,
Helicobacter,hepaticus,https://microbewiki.kenyon.edu/index.php/Helicobacter_hepaticus,Pathogen,Animal host,Bacteria,Proteobacteria,Precompleted,mammal intestines,,
Helicobacter,pullorum,https://microbewiki.kenyon.edu/index.php/Helicobacter_pullorum,Animal Microbiome,Animal host,Bacteria,Proteobacteria,Precompleted,chickens,,
Helicobacter,pylori,https://microbewiki.kenyon.edu/index.php/Helicobacter_pylori,Pathogen,Animal host,Bacteria,Proteobacteria,Precompleted,humans,,
Heliobacter,pullorum,https://microbewiki.kenyon.edu/index.php/Heliobacter_pullorum,Animal Microbiome,Animal host,Bacteria,Proteobacteria,Precompleted,chickens,,
Herminiimonas,glaciei,https://microbewiki.kenyon.edu/index.php/Herminiimonas_glaciei,Environmental Microbiome,Aquatic,Bacteria,Proteobacteria,Precompleted,3000m deep glacier layer,,
Histoplasma,capsulatum,https://microbewiki.kenyon.edu/index.php/Histoplasma_capsulatum,Pathogen,Generalist,Eukaryota,Ascomycota,Precompleted,tropics/subtropics,,
Holdemania,filiformis,https://microbewiki.kenyon.edu/index.php/Holdemania_filiformis,Pathogen,Animal host,Bacteria,Firmicutes,Precompleted,humans,,
Hyperthermus,butylicus,https://microbewiki.kenyon.edu/index.php/Hyperthermus_butylicus,Environmental Microbiome,Marine,Archaea,Crenarchaeota,Precompleted,steam vents,,
Hyphomonas,adhaerens,https://microbewiki.kenyon.edu/index.php/Hyphomonas_adhaerens,Environmental Microbiome,Marine,Bacteria,Proteobacteria,Precompleted,,,
Hyphomonas,neptunium,https://microbewiki.kenyon.edu/index.php/Hyphomonas_neptunium,Environmental Microbiome,Marine,Bacteria,Proteobacteria,Precompleted,,,
Ideonella,sakaiensis,https://microbewiki.kenyon.edu/index.php/Ideonella_sakaiensis,Bioremediation,Sediment,Bacteria,Proteobacteria,Precompleted,,,
Idiomarina,loihiensis,https://microbewiki.kenyon.edu/index.php/Idiomarina_loihiensis,Extremophile,Thermophile,Bacteria,Proteobacteria,Precompleted,vents,,
Ignavibacterium,album,https://microbewiki.kenyon.edu/index.php/Ignavibacterium_album,Extremophile,Thermophile,Bacteria,Chlorobi,Precompleted,Japan hot springs,,
Ignicoccus,hospitalis,https://microbewiki.kenyon.edu/index.php/Ignicoccus_hospitalis,Environmental Microbiome,Thermophile,Archaea,Crenarchaeota,Precompleted,hydrothermal vents,,
Isospora,belli,https://microbewiki.kenyon.edu/index.php/Isospora_belli,Pathogen,Animal Host ,Archaea,Crenarchaeota,Precompleted,portugal,,
Jannaschia,rubra,https://microbewiki.kenyon.edu/index.php/Jannaschia_rubra,Environmental Microbiome,Marine,Bacteria,Proteobacteria,Precompleted,mediterranian,,
Joostella,marina,https://microbewiki.kenyon.edu/index.php/Joostella_marina,Environmental Microbiome,Marine,Bacteria,Bacteroidetes,Precompleted,korea,,
Kakabekia,barghoorniana,https://microbewiki.kenyon.edu/index.php/Kakabekia_barghoorniana,Environmental Microbiome,Marine,Eukaryota,Plantaeincertaesedis,Precompleted,sea floor,,
Karenia,brevis,https://microbewiki.kenyon.edu/index.php/Karenia_brevis,Bioremediation,Marine,Eukaryota,Alveolata,Precompleted,gulf of mexico,,
Karlodinium,veneficum,https://microbewiki.kenyon.edu/index.php/Karlodinium_veneficum,Environmental Microbiome,Marine,Eukaryota,Myzozoa,Precompleted,english channel,,
Kineococcus,radiotolerans,https://microbewiki.kenyon.edu/index.php/Kineococcus_radiotolerans,Bioremediation,Radiophile,Bacteria,Actinobacteria,Precompleted,savannah river,,
Klebsiella,oxytoca,https://microbewiki.kenyon.edu/index.php/Klebsiella_oxytoca,Pathogen,Animal host,Bacteria,Proteobacteria,Precompleted,mammals insects,,
Klebsiella,pneumoniae,https://microbewiki.kenyon.edu/index.php/Klebsiella_pneumoniae,Pathogen,Generalist,Bacteria,Proteobacteria,Precompleted,everywhere,,
Krokinobacter,eikastus,https://microbewiki.kenyon.edu/index.php/Krokinobacter_eikastus,Environmental Microbiome,Sediment,Bacteria,Bacteroidetes,Precompleted,japan,,
Lactobacillus,acidophilus,https://microbewiki.kenyon.edu/index.php/Lactobacillus_acidophilus,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,brevis,https://microbewiki.kenyon.edu/index.php/Lactobacillus_brevis,Fermentation,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,camelliae,https://microbewiki.kenyon.edu/index.php/Lactobacillus_camelliae,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,casei,https://microbewiki.kenyon.edu/index.php/Lactobacillus_casei,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,crispatus,https://microbewiki.kenyon.edu/index.php/Lactobacillus_crispatus,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,delbrueckii,https://microbewiki.kenyon.edu/index.php/Lactobacillus_delbrueckii,Fermentation,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,gasseri,https://microbewiki.kenyon.edu/index.php/Lactobacillus_gasseri,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,jensenii,https://microbewiki.kenyon.edu/index.php/Lactobacillus_jensenii,Pathogen,Animal host,Bacteria,Firmicutes,Precompleted,humans,,
Lactobacillus,johnsonii,https://microbewiki.kenyon.edu/index.php/Lactobacillus_johnsonii,Pathogen,Animal host,Bacteria,Firmicutes,Precompleted,mostly humans,,
Lactobacillus,plantarum,https://microbewiki.kenyon.edu/index.php/Lactobacillus_plantarum,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactobacillus,reuteri,https://microbewiki.kenyon.edu/index.php/Lactobacillus_reuteri,Pathogen,Animal host,Bacteria,Firmicutes,Precompleted,,,
Lactobacillus,sakei,https://microbewiki.kenyon.edu/index.php/Lactobacillus_sakei,Fermentation,Generalist,Bacteria,Firmicutes,Precompleted,meat products,,
Lactobacillus,salivarius,https://microbewiki.kenyon.edu/index.php/Lactobacillus_salivarius,Pathogen,Animal host,Bacteria,Firmicutes,Precompleted,mammals,,
Lactobacillus,sanfranciscensis,https://microbewiki.kenyon.edu/index.php/Lactobacillus_sanfranciscensis,Fermentation,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lactococcus,chungangensis,https://microbewiki.kenyon.edu/index.php/Lactococcus_chungangensis,Bioremediation,Animal host,Bacteria,Firmicutes,Precompleted,humans,,
Lactococcus,lactis,https://microbewiki.kenyon.edu/index.php/Lactococcus_lactis,Fermentation,Generalist,Bacteria,Firmicutes,Precompleted,everywhere,,
Lautropia,mirabilis,https://microbewiki.kenyon.edu/index.php/Lautropia_mirabilis,Pathogen,Animal Host ,Bacteria,Proteobacteria,nwilson7,Oral and pulmonary sites,,
Lawsonia,intracellularis,https://microbewiki.kenyon.edu/index.php/Lawsonia_intracellularis,Pathogen,Animal Host ,Bacteria,Proteobacteria,nwilson7,Pig intestinal epithelial cells ,,
Lebetimonas,acidiphila,https://microbewiki.kenyon.edu/index.php/Lebetimonas_acidiphila,Environmental Microbiome,Acidophile,Bacteria,Proteobacteria,nwilson7,,,
Leeuwenhoekiella,marinoflava,https://microbewiki.kenyon.edu/index.php/Leeuwenhoekiella_marinoflava,Misc,Marine,Bacteria,Bacteroidetes,nwilson7,,,
Legionella,nagasakiensis,https://microbewiki.kenyon.edu/index.php/Legionella_nagasakiensis,Pathogen,Aquatic and Soil,Bacteria,Proteobacteria,sbibbs,"Warm freshwater, soil",,
Legionella,pneumophila,https://microbewiki.kenyon.edu/index.php/Legionella_pneumophila,Pathogen,Aquatic,Bacteria,Proteobacteria,sbibbs,Any aquatic environment,,
Leptospira,Interrogans,https://microbewiki.kenyon.edu/index.php/Leptospira_Interrogans,Pathogen,Aquatic and Soil,Bacteria,Spirochaetes,sbibbs,"Soil, water",,
Leptospira,borgpetersenii,https://microbewiki.kenyon.edu/index.php/Leptospira_borgpetersenii,Pathogen,Aquatic,Bacteria,Spirochaetes,sbibbs,"Aerobic, nonhalophilic, stagnant water",,
Leptotrichia,buccalis,https://microbewiki.kenyon.edu/index.php/Leptotrichia_buccalis,Pathogen,Animal Host ,Bacteria,Fusobacteria,sbibbs,"Oral cavity, intestines, genital-urinary tract",,
Leuconostoc,mesenteroides,https://microbewiki.kenyon.edu/index.php/Leuconostoc_mesenteroides,Fermentation,Plant Host,Bacteria,Firmicutes,sbibbs,Fruit/vegetable skins,,
Limnohabitans,planktonicus,https://microbewiki.kenyon.edu/index.php/Limnohabitans_planktonicus,Environmental Microbiome,Aquatic,Bacteria,Proteobacteria,sbibbs,Stagnant freshwater,,
Listeria,innocua,https://microbewiki.kenyon.edu/index.php/Listeria_innocua,Pathogen,Generalist,Bacteria,Firmicutes,sbibbs,"Wide temp/pH range, water, soil, human/animal hosts, vegetation, sewage water",,
Listeria,ivanovii,https://microbewiki.kenyon.edu/index.php/Listeria_ivanovii,Pathogen,Soil,Bacteria,Firmicutes,sbibbs,"Soil, decaying plant matter",,
Listeria,monocytogenes,https://microbewiki.kenyon.edu/index.php/Listeria_monocytogenes,Pathogen,Generalist,Bacteria,Firmicutes,sbibbs,"Raw foods, unpasteurized milk, soil, fecal matter",,
Listeria,welshimeri,https://microbewiki.kenyon.edu/index.php/Listeria_welshimeri,Environmental Microbiome,Generalist,Bacteria,Firmicutes,sbibbs,"Decaying plants, soil, sewage, water",,
Lutibacter,aestuarii,https://microbewiki.kenyon.edu/index.php/Lutibacter_aestuarii,Environmental Microbiome,Marine,Bacteria,Bacteroidetes,sbibbs,Tidal flats,,
Lutibacter,maritimus,https://microbewiki.kenyon.edu/index.php/Lutibacter_maritimus,Environmental Microbiome,Marine,Bacteria,Bacteroidetes,sbibbs,"Tidal flats, lower salinity levels, greater temperature range",,
Magnetospirillum,magneticum,https://microbewiki.kenyon.edu/index.php/Magnetospirillum_magneticum,Environmental Microbiome,Sediment,Bacteria,Proteobacteria,sbibbs,"Bog sediment, low oxygen levels",,
Magnetospirillum,magnetotacticum,https://microbewiki.kenyon.edu/index.php/Magnetospirillum_magnetotacticum,Environmental Microbiome,Sediment,Bacteria,Proteobacteria,sbibbs,"Freshwater sediment, low oxygen levels, magnetic environment",,
Malassezia,furfur,https://microbewiki.kenyon.edu/index.php/Malassezia_furfur,Pathogen,Animal Host ,Eukaryota,Basidiomycota,sbibbs,Human epithelial cells,,
Maribacter,staineri,https://microbewiki.kenyon.edu/index.php/Maribacter_staineri,Bioremediation,Marine,Bacteria,Bacteroidetes,sbibbs,Ocean/coastal epipelagic zones,,
Maribacter,stanieri,https://microbewiki.kenyon.edu/index.php/Maribacter_stanieri,Bioremediation,Sediment,Bacteria,Bacteroidetes,sbibbs,Ocean epipelagic zones,,
Mariniflexile,aquimaris,https://microbewiki.kenyon.edu/index.php/Mariniflexile_aquimaris,Animal Microbiome,Animal Host ,Bacteria,Bacteroidetes,sbibbs,"Sea urchins, human gut",,
Marinobacter,aquaeolei,https://microbewiki.kenyon.edu/index.php/Marinobacter_aquaeolei,Environmental Microbiome,Halophile,Bacteria,Proteobacteria,sbibbs,"Oil-producing wells, deep ocean",,
Marinobacter,hydrocarbonoclasticus,https://microbewiki.kenyon.edu/index.php/Marinobacter_hydrocarbonoclasticus,Bioremediation,Halophile,Bacteria,Proteobacteria,sbibbs,Mediterranea Sea,,
Mariprofundus,ferrooxydans,https://microbewiki.kenyon.edu/index.php/Mariprofundus_ferrooxydans,Extremophile,Thermophile,Bacteria,Proteobacteria,sbibbs,"Hydrothermal vents, low temperature, high iron levels",,
Marivirga,tractuosa,https://microbewiki.kenyon.edu/index.php/Marivirga_tractuosa,Environmental Microbiome,Aquatic and Soil,Bacteria,Bacteroidetes,sbibbs,"Wet terrestrial habitat, occasionally freshwater, beach sand, mud",,
Marixanthomonas,ophiurae,https://microbewiki.kenyon.edu/index.php/Marixanthomonas_ophiurae,Animal Microbiome,Marine,Bacteria,Bacteroidetes,sbibbs,Brittle stars in Fiji Sea,,
Meganema,perideroedes,https://microbewiki.kenyon.edu/index.php/Meganema_perideroedes,Industrial,Unknown ,Bacteria,Proteobacteria,sbibbs,Industrial wastewater treatment plants,,
Meiothermus,taiwanensis,https://microbewiki.kenyon.edu/index.php/Meiothermus_taiwanensis,Industrial,Thermophile,Bacteria,Deinococcus-Thermus,dmolik,,,
Mesonia,mobilis,https://microbewiki.kenyon.edu/index.php/Mesonia_mobilis,Environmental Microbiome,Marine,Bacteria,Bacteroidetes,dmolik,,,
Mesonia,phycicola,https://microbewiki.kenyon.edu/index.php/Mesonia_phycicola,Misc,Marine,Bacteria,Bacteroidetes,dmolik,,,
Mesorhizobium,loti,https://microbewiki.kenyon.edu/index.php/Mesorhizobium_loti,Rhizosphere,Unknown ,Bacteria,Proteobacteria,csulli24,,,
Metabacterium,polyspora,https://microbewiki.kenyon.edu/index.php/Metabacterium_polyspora,Animal Microbiome,Animal Host ,Bacteria,Firmicutes,dmolik,,,
Metallosphaera,cuprina,https://microbewiki.kenyon.edu/index.php/Metallosphaera_cuprina,Environmental Microbiome,Thermophile,Archaea ,Crenarchaeota,dmolik,,,
Metallosphaera,sedula,https://microbewiki.kenyon.edu/index.php/Metallosphaera_sedula,Environmental Microbiome,Thermoacidophile,Archaea ,Crenarchaeota,dmolik,,,
Methanobacterium,aarhusense,https://microbewiki.kenyon.edu/index.php/Methanobacterium_aarhusense,Misc,Thermophile,Archaea ,Euryarchaeota,dmolik,,,
Methanobacterium,palustre,https://microbewiki.kenyon.edu/index.php/Methanobacterium_palustre,Bioremediation,Aquatic,Archaea ,Euryarchaeota,dmolik,,,
Methanobrevibacter,Smithii,https://microbewiki.kenyon.edu/index.php/Methanobrevibacter_Smithii,Pathogen,Animal Host ,Archaea ,Euryarchaeota,dmolik,,,
Methanobrevibacter,gottschalkii,https://microbewiki.kenyon.edu/index.php/Methanobrevibacter_gottschalkii,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanocaldococcus,infernus,https://microbewiki.kenyon.edu/index.php/Methanocaldococcus_infernus,Environmental Microbiome,Thermophile,Archaea ,Methanococci,dmolik,,,
Methanocaldococcus,villosus,https://microbewiki.kenyon.edu/index.php/Methanocaldococcus_villosus,Environmental Microbiome,Thermophile,Archaea ,Methanococci,dmolik,,,
Methanococcoides,alaskense,https://microbewiki.kenyon.edu/index.php/Methanococcoides_alaskense,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanococcoides,burtonii,https://microbewiki.kenyon.edu/index.php/Methanococcoides_burtonii,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanococcus,jannaschii,https://microbewiki.kenyon.edu/index.php/Methanococcus_jannaschii,Extremophile,Thermophile,Archaea ,Euryarchaeota,dmolik,,,
Methanococcus,maripaludis,https://microbewiki.kenyon.edu/index.php/Methanococcus_maripaludis,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanococcus,vannielii,https://microbewiki.kenyon.edu/index.php/Methanococcus_vannielii,Environmental Microbiome,Marine,Archaea ,Euryarchaeota,dmolik,,,
Methanococcus,voltae,https://microbewiki.kenyon.edu/index.php/Methanococcus_voltae,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanogenium,frigidum,https://microbewiki.kenyon.edu/index.php/Methanogenium_frigidum,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanolobus,oregonensis,https://microbewiki.kenyon.edu/index.php/Methanolobus_oregonensis,Environmental Microbiome,Alkaliphile,Archaea ,Euryarchaeota,dmolik,,,
Methanolobus,vulcani,https://microbewiki.kenyon.edu/index.php/Methanolobus_vulcani,Environmental Microbiome,Marine,Archaea ,Euryarchaeota,dmolik,,,
Methanomassiliicoccus,luminyensis,https://microbewiki.kenyon.edu/index.php/Methanomassiliicoccus_luminyensis,Pathogen,Animal Host ,Archaea ,Euryarchaeota,dmolik,,,
Methanopyrus,kandleri,https://microbewiki.kenyon.edu/index.php/Methanopyrus_kandleri,Extremophile,Thermophile,Archaea ,Euryarchaeota,dmolik,,,
Methanosaeta,thermophila,https://microbewiki.kenyon.edu/index.php/Methanosaeta_thermophila,Environmental Microbiome,Aquatic,Archaea ,Euryarchaeota,dmolik,,,
Methanosarcina,acetivorans,https://microbewiki.kenyon.edu/index.php/Methanosarcina_acetivorans,Environmental Microbiome,Marine,Archaea ,Euryarchaeota,dmolik,,,
Methanosarcina,barkeri,https://microbewiki.kenyon.edu/index.php/Methanosarcina_barkeri,Bioremediation,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanosarcina,mazei,https://microbewiki.kenyon.edu/index.php/Methanosarcina_mazei,Rhizosphere,Soil,Archaea ,Euryarchaeota,pbrown22,"josulli5, found in semi aquatic environments such as sewage receptacles and anoxygenic, moist soils",,
Methanosphaera,stadtmanae,https://microbewiki.kenyon.edu/index.php/Methanosphaera_stadtmanae,Pathogen,Animal Host ,Archaea ,Euryarchaeota,dmolik,,,
Methanosphaerula,palustris,https://microbewiki.kenyon.edu/index.php/Methanosphaerula_palustris,Environmental Microbiome,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanospirillum,hungatei,https://microbewiki.kenyon.edu/index.php/Methanospirillum_hungatei,Bioremediation,Sediment,Archaea ,Euryarchaeota,dmolik,,,
Methanothermobacter,tenebrarum,https://microbewiki.kenyon.edu/index.php/Methanothermobacter_tenebrarum,Environmental Microbiome,Unknown ,Archaea ,Euryarchaeota,dmolik,,,
Methanothermobacter,thermautotrophicus,https://microbewiki.kenyon.edu/index.php/Methanothermobacter_thermautotrophicus,Environmental Microbiome,Soil,Archaea ,Euryarchaeota,dmolik,,,
Methylacidiphilum,fumariolicum,https://microbewiki.kenyon.edu/index.php/Methylacidiphilum_fumariolicum,Extremophile,Thermophile,Bacteria,Verrucomicrobia,dmolik,,,
Methylibium,petroleiphilum,https://microbewiki.kenyon.edu/index.php/Methylibium_petroleiphilum,Bioremediation,Unknown ,Bacteria,Proteobacteria,dmolik,,,
Methylobacillus,flagellatus,https://microbewiki.kenyon.edu/index.php/Methylobacillus_flagellatus,Environmental Microbiome,Marine,Bacteria,Proteobacteria,dmolik,,,
Methylococcus,capsulatus,https://microbewiki.kenyon.edu/index.php/Methylococcus_capsulatus,Bioremediation,Generalist,Bacteria,Proteobacteria,dmolik,,,
Methylothermus,thermalis,https://microbewiki.kenyon.edu/index.php/Methylothermus_thermalis,Bioremediation,Thermophile,Bacteria,Proteobacteria,dmolik,,,
Metschnikowia,bicuspidata,https://microbewiki.kenyon.edu/index.php/Metschnikowia_bicuspidata,Animal Microbiome,Aquatic,Eukaryota,Fungi,dmolik,,,
Micrococcus,Yunnanesis,https://microbewiki.kenyon.edu/index.php/Micrococcus_Yunnanesis,Environmental Microbiome,Soil,Bacteria,Actinobacteria,csulli24,,,
Micrococcus,tetragenus,https://microbewiki.kenyon.edu/index.php/Micrococcus_tetragenus,Pathogen,Animal Host ,Bacteria,Actinobacteria,dmolik,,,
Microcystis,aeruginosa,https://microbewiki.kenyon.edu/index.php/Microcystis_aeruginosa,Environmental Microbiome,Aquatic,Bacteria,Cyanobacteria,dmolik,,,
Micromonas,pusilla,https://microbewiki.kenyon.edu/index.php/Micromonas_pusilla,Environmental Microbiome,Marine,Eukaryota,Chlorophyta,dmolik,,,
